,Unnamed: 0,dbn,school_name,borough,latitude,longitude,location,avg_perc Grads,latitude_rad,longitude_rad,trees,crashes,pc,shootings,arrests,programs,bins
184,184,10X438,Fordham Leadership Academy for Business and Technology,Bronx,40.860043,-73.888267,"(40.860043, -73.888267)",52.49807692307692,0.7131422828564614,-1.289593537742673,-0.30313103688887394,0.2623173206321531,-0.9285271607674112,0.3499137939795025,0.3763124814708719,-0.3656705266347479,0.26645055940863616
185,185,10X439,Bronx High School for Law and Community Service,Bronx,40.860043,-73.888267,"(40.860043, -73.888267)",65.04081632653062,0.7131422828564614,-1.289593537742673,-0.30313103688887394,0.2623173206321531,-0.9285271607674112,0.3499137939795025,0.3763124814708719,-0.3656705266347479,0.26645055940863616
186,186,10X440,DeWitt Clinton High School,Bronx,40.882178,-73.88691,"(40.882178, -73.88691)",58.00384615384615,0.7135286114863905,-1.2895698536247235,-0.965831030322561,-0.630816616858894,-0.12022762041809114,-0.5822857668981078,-0.7417184855227298,0.2396250041962552,-0.13645218959335
187,187,10X442,"Celia Cruz Bronx High School of Music, The",Bronx,40.870293,-73.898309,"(40.870293, -73.898309)",85.4608695652174,0.7133211791047908,-1.2897688037061583,0.16144215438422627,-0.3912185525612958,-0.12022762041809114,0.08131392050629273,-0.06855264852665885,-0.6683182920502495,-0.13645218959335
188,188,10X445,Bronx High School of Science,Bronx,40.87759,-73.89104,"(40.87759, -73.89104)",99.52115384615384,0.7134485357803089,-1.2896419357228308,-1.9667129791682842,-1.220999522752978,-0.9285271607674112,-0.8982856180430605,-1.0332409267670195,-0.970966057465751,-0.5393549385953362
189,189,10X477,Marble Hill High School for International Studies,Bronx,40.877105,-73.912256,"(40.877105, -73.912256)",91.87346938775512,0.7134400709334366,-1.290012224776934,-1.4713959737668172,-0.893278909956263,0.6880719199312288,-0.534885789226365,-0.8614799821020765,0.2396250041962552,-0.5393549385953362
190,190,10X524,Crotona International High School,Bronx,40.855698,-73.882715,"(40.855698, -73.882715)",49.154545454545456,0.7130664483004622,-1.2894966370626024,-0.040100627123956914,-0.2573675464626375,-0.12022762041809114,0.1603138832925309,-0.33891551204913273,-0.3656705266347479,0.26645055940863616
191,191,10X546,Bronx Theatre High School,Bronx,40.877105,-73.912256,"(40.877105, -73.912256)",70.86521739130436,0.7134400709334366,-1.290012224776934,-1.4713959737668172,-0.893278909956263,0.6880719199312288,-0.534885789226365,-0.8614799821020765,0.2396250041962552,-0.5393549385953362
192,192,10X549,Discovery High School,Bronx,40.870293,-73.898309,"(40.870293, -73.898309)",66.10434782608696,0.7133211791047908,-1.2897688037061583,0.16144215438422627,-0.3912185525612958,-0.12022762041809114,0.08131392050629273,-0.06855264852665885,-0.6683182920502495,-0.13645218959335
193,193,10X565,High School for Energy and Technology,Bronx,40.855698,-73.882715,"(40.855698, -73.882715)",76.11666666666666,0.7130664483004622,-1.2894966370626024,-0.040100627123956914,-0.2573675464626375,-0.12022762041809114,0.1603138832925309,-0.33891551204913273,-0.3656705266347479,0.26645055940863616
194,194,10X696,High School of American Studies at Lehman College,Bronx,40.873938,-73.895382,"(40.873938, -73.895382)",98.8265306122449,0.713384796356026,-1.2897177179189525,-1.0546464933600654,-1.1924192367532644,-0.9285271607674112,-0.5664857743408602,-0.9102241105381627,-0.970966057465751,-0.5393549385953362
195,195,11X249,Bronx Health Sciences High School,Bronx,40.874091,-73.833904,"(40.874091, -73.833904)",95.31395348837208,0.7133874667097816,-1.2886447244014114,-0.839439794461497,-1.0318932970548735,-0.9285271607674112,-0.6296857445698507,-1.0314419343291323,-0.3656705266347479,-0.5393549385953362
196,196,11X253,Bronx High School for Writing and Communication Arts,Bronx,40.875953,-73.86197,"(40.875953, -73.86197)",61.02173913043478,0.7134199647404538,-1.289134568509276,-0.40902639666436,-0.5741323829594622,0.6880719199312288,0.0181139502773022,-0.5211277461151347,-0.06302276121924635,-0.13645218959335
197,197,11X265,Bronx Lab School,Bronx,40.875953,-73.86197,"(40.875953, -73.86197)",73.78372093023255,0.7134199647404538,-1.289134568509276,-0.40902639666436,-0.5741323829594622,0.6880719199312288,0.0181139502773022,-0.5211277461151347,-0.06302276121924635,-0.13645218959335
198,198,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Bronx,40.887831,-73.852694,"(40.887831, -73.852694)",69.38292682926829,0.7136272749490056,-1.2889726717678611,-0.5729934053489837,-0.7599042419576,-0.9285271607674112,1.5033132506585798,0.7130667325820395,-0.970966057465751,-0.5393549385953362
199,199,11X275,High School of Computers and Technology,Bronx,40.875953,-73.86197,"(40.875953, -73.86197)",82.70930232558139,0.7134199647404538,-1.289134568509276,-0.40902639666436,-0.5741323829594622,0.6880719199312288,0.0181139502773022,-0.5211277461151347,-0.06302276121924635,-0.13645218959335
200,200,11X288,Collegiate Institute for Math and Science,Bronx,40.859665,-73.861006,"(40.859665, -73.861006)",85.02391304347826,0.7131356855118889,-1.289117743535287,-0.145995986899443,-1.1033440120541573,0.6880719199312288,-0.04508601995168833,-0.8454603827742241,-0.06302276121924635,-0.5393549385953362
201,201,11X290,Bronx Academy of Health Careers,Bronx,40.875953,-73.86197,"(40.875953, -73.86197)",72.4608695652174,0.7134199647404538,-1.289134568509276,-0.40902639666436,-0.5741323829594622,0.6880719199312288,0.0181139502773022,-0.5211277461151347,-0.06302276121924635,-0.13645218959335
202,202,11X299,Astor Collegiate Academy,Bronx,40.859665,-73.861006,"(40.859665, -73.861006)",75.55869565217391,0.7131356855118889,-1.289117743535287,-0.145995986899443,-1.1033440120541573,0.6880719199312288,-0.04508601995168833,-0.8454603827742241,-0.06302276121924635,-0.5393549385953362
203,203,11X418,Bronx High School for the Visual Arts,Bronx,40.851405,-73.865036,"(40.851405, -73.865036)",65.62857142857143,0.7129915213156741,-1.2891880803041422,0.5850235934861706,-0.6303402787588988,-0.12022762041809114,-0.7086857073560889,-0.7416328192161638,-0.970966057465751,-0.13645218959335
204,204,11X455,Harry S Truman High School,Bronx,40.874091,-73.833904,"(40.874091, -73.833904)",65.40384615384616,0.7133874667097816,-1.2886447244014114,-0.839439794461497,-1.0318932970548735,-0.9285271607674112,-0.6296857445698507,-1.0314419343291323,-0.3656705266347479,-0.5393549385953362
